State,Value
-OOX----X,0.0
-OOX---X-,0.0
-OOX---XX,0.0
-OOX--X--,1.0
-OOX--XX-,0.0
-OOX-O-XX,0.0
-OOX-OXX-,0.0
-OOX-X---,0.0
-OOX-X--X,-1.0
-OOX-X-OX,0.0
-OOX-XO-X,0.0
-OOX-XOX-,0.0
-OOX-XOXX,-2.0
-OOX-XXOX,0.0
-OOXOOXXX,2.0
-OOXOX--X,0.0
-OOXOX-XX,0.0
-OOXOXOXX,-2.0
-OOXOXX--,0.0
-OOXOXXOX,-2.0
-OOXOXXX-,0.0
-OOXOXXXO,1.0
-OOXX----,0.0
-OOXX--X-,-1.0
-OOXXOOXX,1.0
-OOXXOXOX,1.0
-OOXXOXXO,-2.0
-OOXXX-O-,2.0
-OOXXXOOX,2.0
-OOXXXXO-,1.0
-OOXXXXOO,2.0
-OX------,0.0
-OX-----X,0.0
-OX----X-,0.0
-OX----XO,0.0
-OX---O-X,1.0
-OX---OX-,0.0
-OX---X--,0.0
-OX---X-O,0.0
-OX---XO-,0.0
-OX--O--X,0.0
-OX--O-X-,0.0
-OX--OX--,0.0
-OX--OX-X,0.0
-OX--OXX-,0.0
-OX--X---,0.0
-OX--X-O-,0.0
-OX--XO--,0.0
-OX--XO-X,1.0
-OX--XOXO,0.0
-OX-O---X,0.0
-OX-O--X-,0.0
-OX-O--XX,0.0
-OX-O-X-X,0.0
-OX-OO-XX,0.0
-OX-OOX-X,1.0
-OX-OOXXX,3.0
-OX-OX---,0.0
-OX-OX-X-,0.0
-OX-OXOX-,0.0
-OX-OXX--,0.0
-OX-X----,0.0
-OX-X---O,0.0
-OX-X--O-,1.0
-OX-X--OX,0.0
-OX-X--XO,0.0
-OX-X-O--,0.0
-OX-X-O-X,0.0
-OX-X-OX-,0.0
-OX-X-OXO,0.0
-OX-X-X-O,3.0
-OX-X-XO-,1.0
-OX-X-XOO,3.0
-OX-XO-OX,1.0
-OX-XO-XO,3.0
-OX-XOO-X,0.0
-OX-XOOX-,0.0
-OX-XOOXX,0.0
-OX-XOX-O,4.0
-OX-XOXO-,1.0
-OX-XOXOX,3.0
-OX-XOXXO,3.0
-OX-XXO--,0.0
-OX-XXOXO,0.0
-OXO--X--,0.0
-OXO-OXX-,0.0
-OXO-X---,0.0
-OXO-X-X-,0.0
-OXO-X-XO,0.0
-OXOO--XX,0.0
-OXOO-XXX,3.0
-OXOOOXXX,2.0
-OXOOX--X,2.0
-OXOOX-X-,1.0
-OXOOX-XX,3.0
-OXOOXOXX,2.0
-OXOOXX--,0.0
-OXOX----,1.0
-OXOX--X-,0.0
-OXOX-O-X,3.0
-OXOX-OX-,0.0
-OXOX-OXX,0.0
-OXOX-X--,1.0
-OXOX-X-O,4.0
-OXOX-XO-,2.0
-OXOX-XOX,1.0
-OXOX-XXO,3.0
-OXOXOOXX,1.0
-OXOXOX--,2.0
-OXOXOXOX,2.0
-OXOXOXX-,3.0
-OXOXOXXO,2.0
-OXOXX-XO,0.0
-OXOXXO-X,1.0
-OXOXXOX-,0.0
-OXOXXOXO,0.0
-OXOXXXO-,2.0
-OXOXXXOO,2.0
-OXX-----,0.0
-OXX----O,0.0
-OXX---O-,0.0
-OXX---OX,0.0
-OXX---XO,0.0
-OXX--O-X,0.0
-OXX--OX-,0.0
-OXX--X-O,0.0
-OXX--XO-,-1.0
-OXX--XOO,0.0
-OXX-O--X,0.0
-OXX-O-OX,0.0
-OXX-O-X-,0.0
-OXX-O-XO,0.0
-OXX-OO-X,0.0
-OXX-OOX-,0.0
-OXX-OOXX,0.0
-OXX-OX--,0.0
-OXX-OX-O,0.0
-OXX-OXOX,-2.0
-OXX-X-O-,0.0
-OXX-X-OO,0.0
-OXX-XOO-,0.0
-OXXO--OX,-1.0
-OXXO--XO,0.0
-OXXO-OX-,0.0
-OXXO-XO-,-1.0
-OXXO-XOX,-3.0
-OXXOO-XX,0.0
-OXXOOOXX,0.0
-OXXOOX-X,0.0
-OXXOOXOX,-2.0
-OXXOOXX-,0.0
-OXXOOXXO,1.0
-OXXOX---,0.0
-OXXOX-O-,0.0
-OXXOX-OX,1.0
-OXXOXO--,0.0
-OXXOXOOX,2.0
-OXXOXOX-,0.0
-OXXOXOXO,0.0
-OXXOXX-O,0.0
-OXXOXXO-,-3.0
-OXXOXXOO,-2.0
-OXXX--O-,0.0
-OXXX-O--,0.0
-OXXX-OO-,0.0
-OXXX-XOO,1.0
-OXXXO-XO,0.0
-OXXXOX-O,1.0
-OXXXOXOO,2.0
-OXXXX-OO,1.0
-OXXXXOOO,-2.0
-X-------,0.0
-X------O,0.0
-X-----O-,0.0
-X-----OX,0.0
-X-----XO,0.0
-X----O--,0.0
-X----O-X,0.0
-X----OOX,0.0
-X----OX-,0.0
-X----OXO,1.0
-X----X-O,0.0
-X----XO-,0.0
-X----XOO,0.0
-X---O---,0.0
-X---O--X,0.0
-X---O-OX,0.0
-X---O-X-,0.0
-X---O-XO,1.0
-X---OO-X,0.0
-X---OOX-,1.0
-X---OX--,0.0
-X---OX-O,0.0
-X---OXO-,0.0
-X---OXOX,0.0
-X---OXXO,-2.0
-X---X--O,0.0
-X---X-O-,0.0
-X---X-OO,0.0
-X---XO--,0.0
-X---XO-O,0.0
-X---XOO-,0.0
-X--O----,0.0
-X--O---X,0.0
-X--O--OX,0.0
-X--O--X-,0.0
-X--O--XO,0.0
-X--O-O-X,0.0
-X--O-OX-,0.0
-X--O-OXX,0.0
-X--O-X--,0.0
-X--O-X-O,0.0
-X--O-XO-,0.0
-X--O-XOX,0.0
-X--O-XXO,0.0
-X--OO--X,0.0
-X--OOX--,0.0
-X--OOXOX,0.0
-X--OOXX-,0.0
-X--OX---,0.0
-X--OX--O,0.0
-X--OX-XO,0.0
-X--OXO--,0.0
-X--OXX-O,0.0
-X--OXXO-,0.0
-X--OXXOO,0.0
-X--X---O,0.0
-X--X--O-,0.0
-X--X-O--,0.0
-X--X-O-O,0.0
-X--X-OO-,0.0
-X--X-OOX,0.0
-X--X-OXO,1.0
-X--XO---,0.0
-X--XO--O,0.0
-X--XO-XO,0.0
-X--XOO--,2.0
-X--XOO-X,0.0
-X--XOOOX,0.0
-X--XOOX-,2.0
-X--XOOXO,2.0
-X--XOX-O,0.0
-X--XOXO-,0.0
-X--XX-OO,-1.0
-X--XXOO-,0.0
-X--XXOOO,-2.0
-X-O-----,0.0
-X-O----X,0.0
-X-O---X-,0.0
-X-O---XO,0.0
-X-O--O-X,0.0
-X-O--OX-,1.0
-X-O--X--,0.0
-X-O--X-O,0.0
-X-O--XO-,0.0
-X-O-O--X,0.0
-X-O-O-X-,1.0
-X-O-OX--,0.0
-X-O-OX-X,0.0
-X-O-X---,0.0
-X-O-X-O-,0.0
-X-O-X-OX,0.0
-X-O-X-XO,0.0
-X-O-XO--,0.0
-X-O-XO-X,0.0
-X-O-XOOX,1.0
-X-OO---X,0.0
-X-OO--X-,0.0
-X-OO--XX,0.0
-X-OO-X-X,0.0
-X-OO-XOX,0.0
-X-OO-XX-,0.0
-X-OOOX-X,2.0
-X-OOOXXX,3.0
-X-OOX---,0.0
-X-OOX-OX,1.0
-X-OOX-X-,0.0
-X-OOX-XO,0.0
-X-OOXOX-,0.0
-X-OOXX--,0.0
-X-OOXX-O,0.0
-X-OOXXO-,0.0
-X-OOXXOX,0.0
-X-OOXXXO,-2.0
-X-OX----,0.0
-X-OX---O,0.0
-X-OX--O-,0.0
-X-OX--OX,0.0
-X-OX-O-X,0.0
-X-OX-OOX,2.0
-X-OX-OX-,1.0
-X-OX-OXO,1.0
-X-OX-X-O,0.0
-X-OX-XO-,0.0
-X-OXO---,1.0
-X-OXO--X,0.0
-X-OXO-OX,0.0
